"","PP","Maire.PP","Confiance","Nbre_Hab","Etude_Parent1","Categorie_Parent1","Etude_Parent2","Parent2_Categorie","Media_Princ","Ouverture","Satisfaction","Impulsivite","Extraversion","Agreabilite","Anxiete","Pub","Categorie","Revenu","Proprietaire","Type_Habitation","Etude_Nv","Etude_Dom","Sexe","Age","JournalTv","Réseaux","JournalPap","ChaineInfo","Appli","Radio","Internet","Aucun","AxePP.1","AxePP.2","AxePP.3","AxePP.4","AxePP.5","AxePP.6","AxePP.7","AxePP.8","AxePP.9","AxePP.10","AxePP.11","AxePP.12","AxePP.13","AxePP.14","AxePP.15","AxePP.16","AxePP.17","AxePP.18","AxePP.19","Parent1PP.1","Parent1PP.2","Parent1PP.3","Parent1PP.4","Parent1PP.5","Parent1PP.6","Parent1PP.7","Parent1PP.8","Parent1PP.9","Parent1PP.10","Parent1PP.11","Parent1PP.12","Parent1PP.13","Parent1PP.14","Parent1PP.15","Parent1PP.16","Parent1PP.17","Parent1PP.18","Parent1PP.19","Parent2PP.1","Parent2PP.2","Parent2PP.3","Parent2PP.4","Parent2PP.5","Parent2PP.6","Parent2PP.7","Parent2PP.8","Parent2PP.9","Parent2PP.10","Parent2PP.11","Parent2PP.12","Parent2PP.13","Parent2PP.14","Parent2PP.15","Parent2PP.16","Parent2PP.17","Parent2PP.18","Parent2PP.19"
"141",15,7,4,2,3,1,3,5,"16",9,8,4,5,7,7,6,9,1,1,1,5,32,0,2,"1","0","0","0","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"142",6,2,7,4,4,2,6,3,"14",8,9,8,4,7,3,6,9,1,1,1,4,1,0,2,"1","1","0","0","0","0","0","0",0,0,0.2,0.0666666666666667,1,0.315789473684211,0,0,0.421052631578947,0,0,0.4,0.625,0,0.268817204301075,0.222222222222222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",15,5,3,2,3,5,4,5,"10",8,4,2,5,8,3,3,9,1,3,2,3,32,1,2,"1","1","0","0","1","0","0","0",0,0.666666666666667,0.7,0.866666666666667,2,0.842105263157895,0,0,0.631578947368421,0,0,0.8,1.625,0,0.838709677419355,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",16,7,4,3,5,4,5,4,"9",7,7,9,8,10,6,5,9,2,1,1,4,1,1,2,"0","1","0","0","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"145",15,5,1,1,1,7,1,5,"16",9,7,8,5,7,7,7,5,7,2,2,2,30,1,5,"1","1","1","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"146",15,2,5,2,2,5,2,8,"3",7,7,9,8,7,4,3,9,1,1,1,4,8,0,2,"1","1","0","1","1","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"147",6,7,7,2,7,3,7,3,"10",9,8,7,7,7,5,6,9,2,1,1,4,1,0,2,"1","1","0","0","1","0","0","0",1,1,1.3,0.733333333333333,1,1.05263157894737,1,1,1.10526315789474,1,0,1.8,1,0,1.05376344086022,0.777777777777778,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",15,2,1,2,3,5,2,6,"7",8,5,8,7,9,8,2,5,7,2,2,2,32,1,5,"1","0","0","0","0","0","0","0",0,0.333333333333333,0.2,0.133333333333333,0,0.578947368421053,0,1,0.684210526315789,0,0,0.6,0.25,0,0.505376344086022,0.777777777777778,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",6,2,4,4,6,1,3,5,"1",8,6,4,4,6,8,2,9,2,1,1,6,1,0,2,"1","1","1","1","0","0","0","0",0,1,0.4,0.866666666666667,1,0.894736842105263,0,1,0.526315789473684,0,0,1,0.375,0,0.78494623655914,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",6,2,7,4,7,3,3,2,"14",9,8,5,7,7,2,2,9,5,1,1,5,1,0,2,"1","0","0","0","0","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",6,7,6,2,2,6,4,5,"16",9,8,4,5,8,9,3,9,1,3,2,3,1,0,2,"1","1","0","0","0","0","0","0",0,0.333333333333333,0.3,0.0666666666666667,0,0.578947368421053,0,1,0.736842105263158,0,0,0.6,1.125,0,0.43010752688172,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"152",3,2,9,4,7,3,7,3,"10",10,9,8,9,10,2,3,9,1,3,1,3,1,1,2,"1","1","1","0","0","0","0","0",1,0.666666666666667,1,0.6,0,0.263157894736842,1,0,0.157894736842105,1,0,0.8,0.125,0,0.462365591397849,0.222222222222222,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",6,10,7,1,4,3,2,4,"6",6,4,8,4,6,9,1,5,7,2,2,3,12,1,5,"1","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"154",15,2,5,4,5,8,5,5,"14",9,9,4,6,7,6,5,9,2,1,1,5,1,1,2,"0","1","0","0","0","0","1","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"155",6,5,6,4,5,3,4,8,"10",8,6,4,9,6,7,7,9,3,2,1,3,1,0,2,"1","0","0","0","1","0","0","0",1,1.66666666666667,1.6,1.46666666666667,1,1.26315789473684,1,1,0.894736842105263,1,0,1.8,1.375,0,1.35483870967742,1.11111111111111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",15,4,5,3,7,3,7,3,"16",7,6,3,7,9,4,2,9,3,1,1,7,1,1,2,"0","1","0","1","1","0","0","0",0,0.333333333333333,0.3,0.133333333333333,1,0.789473684210526,0,1,0.947368421052632,0,0,1,0.875,0,0.591397849462366,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"157",3,2,6,3,7,3,6,3,"10",7,5,4,4,7,6,7,9,3,1,1,4,1,1,2,"1","1","0","1","0","0","0","0",1,1.66666666666667,1.6,1.53333333333333,2,1.47368421052632,1,1,1.10526315789474,1,0,2.2,1.125,0,1.51612903225806,1.11111111111111,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",6,2,7,4,2,6,6,3,"8",8,7,5,3,8,6,4,9,6,1,1,7,9,1,2,"1","1","1","1","0","0","0","0",0,1,0.4,0.866666666666667,1,0.894736842105263,0,1,0.526315789473684,0,0,1,0.375,0,0.78494623655914,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"159",4,7,7,3,7,3,6,3,"10",9,7,8,8,1,8,6,9,1,1,1,5,32,1,2,"1","1","1","0","0","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",15,2,5,2,10,10,10,10,"4",7,7,4,7,9,4,4,9,10,1,1,7,32,0,2,"1","1","0","1","1","0","0","0",3,0.666666666666667,1.6,0.8,1,0.789473684210526,1,0,0.947368421052632,1,0,1.2,1.625,0,1.05376344086022,1.22222222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"161",15,2,5,4,6,3,2,5,"10",8,7,4,3,8,7,4,9,10,1,1,5,1,0,2,"1","1","0","1","0","0","0","0",1,1.66666666666667,1.6,1.53333333333333,2,1.47368421052632,1,1,1.10526315789474,1,0,2.2,1.125,0,1.51612903225806,1.11111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"162",15,10,1,4,5,3,5,3,"4, 1",9,7,7,7,8,6,5,9,2,1,1,6,1,0,2,"1","1","0","1","1","0","0","0",1,1.66666666666667,1.6,1.46666666666667,1,1.26315789473684,1,1,0.894736842105263,1,0,1.8,1.375,0,1.35483870967742,1.11111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"163",9,2,5,4,7,3,5,5,"10",8,7,7,5,7,4,6,9,7,1,1,7,31,1,2,"1","0","0","1","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"164",15,10,5,1,2,6,3,5,"5",9,6,8,4,9,9,6,9,1,3,2,3,1,0,2,"1","1","0","1","1","0","0","0",0,1,0.8,0.933333333333333,2,1.31578947368421,0,1,1.15789473684211,0,0,1.4,1.875,0,1.16129032258065,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"165",9,2,4,4,5,5,3,3,"9",7,6,7,5,8,2,4,9,1,1,1,4,1,1,2,"0","1","0","0","1","0","0","0",0,0,0.2,0.0666666666666667,1,0.315789473684211,0,0,0.421052631578947,0,0,0.4,0.625,0,0.268817204301075,0.222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",6,2,5,4,4,5,5,7,"6",10,8,3,7,10,5,5,9,1,1,1,4,1,0,2,"1","1","0","0","0","0","0","0",0,0,0.1,0.0666666666666667,0,0.105263157894737,0,0,0.157894736842105,0,0,0,0,0,0.182795698924731,0.444444444444444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",9,7,8,3,3,7,4,8,"14",2,7,6,3,4,7,7,9,10,3,2,5,1,1,2,"1","1","0","0","0","0","0","0",0,0.333333333333333,0.5,0.133333333333333,1,0.894736842105263,0,1,1.15789473684211,0,0,1,1.75,0,0.698924731182796,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"168",4,9,8,2,4,4,6,5,"2",8,8,4,7,8,3,3,9,1,2,2,3,1,0,2,"1","1","0","0","1","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",15,2,4,4,4,2,9,11,"3",8,7,3,3,7,3,2,9,3,1,1,7,29,0,2,"1","1","0","0","0","0","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",14,5,7,2,3,5,8,3,"16",8,8,7,8,9,3,2,9,1,3,2,7,1,1,2,"0","0","0","0","0","0","1","0",0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,1,0.021505376344086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",5,2,8,4,7,5,2,6,"10",7,4,4,4,6,8,3,9,2,1,1,5,1,1,2,"0","0","0","0","1","0","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"172",2,2,10,3,7,3,7,3,"13",8,7,9,4,7,9,1,9,1,1,1,7,1,1,2,"0","0","0","0","1","0","0","0",0,1.66666666666667,0.4,0.933333333333333,1,0.947368421052631,0,1,0.578947368421053,0,0,1,0.75,0,0.817204301075269,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",15,5,1,3,7,3,3,3,"7",8,8,5,5,6,4,3,9,1,2,2,5,1,1,2,"1","1","0","0","1","0","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",15,3,1,4,2,6,2,6,"16",8,7,9,6,9,1,7,9,3,1,1,7,21,0,2,"1","1","0","0","0","0","0","0",1,0.666666666666667,1.2,0.666666666666667,1,0.578947368421053,1,0,0.578947368421053,1,0,1.2,0.75,0,0.731182795698925,0.444444444444444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",15,3,5,2,7,4,4,5,"14",8,7,3,3,5,6,4,9,2,1,2,5,1,1,2,"0","1","0","0","1","0","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",4,2,7,4,3,5,2,5,"8",7,8,6,6,6,2,3,9,2,1,1,7,11,1,2,"0","1","1","0","0","1","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",15,10,4,2,4,2,8,8,"14",8,7,5,4,8,6,4,9,10,1,4,6,1,0,2,"0","1","0","0","0","0","0","0",0,1,0.4,0.866666666666667,1,0.894736842105263,0,1,0.526315789473684,0,0,1,0.375,0,0.78494623655914,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",15,5,4,2,5,2,7,3,"2",10,9,8,4,7,3,5,9,3,3,2,5,1,0,2,"1","1","0","1","0","0","0","0",1,1.66666666666667,1.5,1.53333333333333,1,1.26315789473684,1,1,0.842105263157895,1,0,1.8,0.5,0,1.43010752688172,1.33333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",6,3,6,4,2,5,2,5,"10",8,9,4,6,7,8,8,9,4,1,1,7,1,0,2,"1","0","1","0","1","0","0","0",1,1.33333333333333,1.5,1.46666666666667,2,1,1,0,0.578947368421053,1,0,1.6,0.875,0,1.19354838709677,0.777777777777778,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",15,7,3,2,7,3,4,4,"8",9,9,5,7,9,6,2,9,1,3,2,6,1,1,2,"1","1","0","0","0","0","0","0",1,1.33333333333333,1.3,1.4,1,0.684210526315789,1,0,0.157894736842105,1,0,1.2,0.25,0,0.924731182795699,0.555555555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"181",15,2,1,4,5,5,1,5,"14",8,10,7,6,8,2,1,9,2,1,1,4,1,1,2,"0","1","0","0","0","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",9,9,6,1,5,8,2,4,"6",5,5,4,3,7,3,2,9,1,1,1,6,1,1,2,"1","1","0","1","1","0","0","0",0,0.333333333333333,0.3,0.133333333333333,1,0.789473684210526,0,1,0.947368421052632,0,0,1,0.875,0,0.591397849462366,0.555555555555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",15,7,4,2,6,3,8,4,"10",6,8,5,7,9,7,4,9,9,2,2,5,1,0,3,"1","0","1","0","0","0","0","0",0,0.666666666666667,0.3,0.8,1,0.473684210526316,0,0,0,0,0,0.4,0.125,1,0.483870967741935,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",4,5,7,3,4,4,2,5,"14",9,10,3,5,8,3,2,9,3,1,1,7,31,1,2,"0","1","0","0","0","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"185",15,5,5,2,7,3,2,5,"1",8,7,7,5,8,7,5,9,2,1,1,3,1,0,2,"1","1","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"186",3,3,6,2,5,5,7,3,"10",9,8,9,9,8,7,7,9,2,3,2,4,1,0,2,"0","1","0","0","0","0","0","0",1,0.666666666666667,1,0.6,0,0.263157894736842,1,0,0.157894736842105,1,0,0.8,0.125,0,0.462365591397849,0.222222222222222,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",15,3,1,3,4,4,7,3,"10",7,8,6,7,9,10,2,9,4,1,2,6,31,1,2,"0","0","0","0","1","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"188",6,5,7,3,4,5,2,5,"14",10,8,2,7,9,8,8,9,2,1,2,5,1,1,2,"1","1","1","0","0","0","0","0",0,0.333333333333333,0.3,0.133333333333333,1,0.789473684210526,0,1,0.947368421052632,0,0,1,0.875,0,0.591397849462366,0.555555555555556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",15,7,1,3,1,4,6,3,"10",8,6,9,8,9,6,3,9,4,1,1,6,1,1,2,"0","0","0","0","1","0","0","0",1,1,1.2,0.733333333333333,0,0.842105263157895,1,1,0.842105263157895,1,0,1.4,0.375,0,0.967741935483871,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
