"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"28/09/2012","143,97","144,09","144,56","143,46","150,70M","-0,46%"
"27/09/2012","144,64","143,89","144,97","143,51","111,83M","0,94%"
"26/09/2012","143,29","144,06","144,11","142,95","146,50M","-0,56%"
"25/09/2012","144,10","145,96","146,24","144,06","133,17M","-1,06%"
"24/09/2012","145,65","145,15","145,98","145,04","95,68M","-0,15%"
"21/09/2012","145,87","146,64","146,67","145,81","108,74M","-0,57%"
"20/09/2012","146,71","146,03","146,79","145,63","154,01M","0,01%"
"19/09/2012","146,70","146,79","147,17","146,41","128,32M","0,05%"
"18/09/2012","146,62","146,49","146,81","146,25","98,33M","-0,08%"
"17/09/2012","146,74","146,94","147,19","146,37","119,43M","-0,34%"
"14/09/2012","147,24","146,88","148,11","146,76","169,78M","0,44%"
"13/09/2012","146,59","144,37","147,04","143,99","225,47M","1,52%"
"12/09/2012","144,39","144,39","144,55","143,90","87,64M","0,33%"
"11/09/2012","143,91","143,60","144,37","143,56","88,76M","0,28%"
"10/09/2012","143,51","144,19","144,44","143,46","86,46M","-0,57%"
"07/09/2012","144,33","144,01","144,39","143,88","107,27M","0,39%"
"06/09/2012","143,77","141,76","143,78","141,75","158,27M","2,03%"
"05/09/2012","140,91","141,09","141,47","140,63","100,66M","-0,09%"
"04/09/2012","141,03","141,04","141,46","140,13","120,23M","-0,09%"
"31/08/2012","141,16","141,29","141,82","140,36","151,97M","0,48%"
"30/08/2012","140,49","140,90","140,94","140,19","96,59M","-0,72%"
"29/08/2012","141,51","141,52","141,89","141,12","65,42M","0,08%"
"28/08/2012","141,40","141,18","141,84","140,97","75,69M","-0,10%"
"27/08/2012","141,54","141,89","142,08","141,34","68,79M","0,02%"
"24/08/2012","141,51","140,31","141,83","140,22","99,48M","0,60%"
"23/08/2012","140,66","141,47","141,48","140,44","111,47M","-0,82%"
"22/08/2012","141,82","141,40","142,05","141,07","133,24M","0,04%"
"21/08/2012","141,76","142,54","143,09","141,45","105,58M","-0,30%"
"20/08/2012","142,19","141,98","142,22","141,59","78,26M","0,01%"
"17/08/2012","142,18","142,23","142,30","141,86","90,81M","0,13%"
"16/08/2012","141,99","141,15","142,16","140,80","112,01M","0,74%"
"15/08/2012","140,95","140,64","141,19","140,55","71,09M","0,11%"
"14/08/2012","140,79","141,29","141,38","140,37","102,38M","0,01%"
"13/08/2012","140,77","140,60","140,84","140,04","79,43M","-0,05%"
"10/08/2012","140,84","140,04","140,89","139,81","99,79M","0,16%"
"09/08/2012","140,61","140,29","140,89","140,15","90,29M","0,09%"
"08/08/2012","140,49","139,85","140,65","139,81","89,75M","0,12%"
"07/08/2012","140,32","140,18","140,92","140,03","109,55M","0,50%"
"06/08/2012","139,62","139,72","140,17","139,56","86,33M","0,19%"
"03/08/2012","139,35","138,56","139,64","136,68","157,82M","1,98%"
"02/08/2012","136,64","136,55","137,57","135,58","199,56M","-0,69%"
"01/08/2012","137,59","138,70","138,73","137,40","138,29M","-0,09%"
"31/07/2012","137,71","138,49","138,87","137,71","120,58M","-0,70%"
"30/07/2012","138,68","138,52","139,34","138,27","106,78M","0,00%"
"27/07/2012","138,68","136,89","139,07","136,14","236,77M","1,84%"
"26/07/2012","136,17","135,89","136,46","135,26","156,53M","1,65%"
"25/07/2012","133,96","134,21","134,56","133,25","129,12M","0,02%"
"24/07/2012","133,93","135,19","135,25","133,03","173,30M","-0,86%"
"23/07/2012","135,09","134,47","136,39","133,84","145,21M","-1,01%"
"20/07/2012","136,47","136,95","137,16","136,32","142,90M","-0,91%"
"19/07/2012","137,73","137,65","138,18","137,21","129,85M","0,26%"
"18/07/2012","137,37","136,04","137,64","135,96","113,35M","0,74%"
"17/07/2012","136,36","135,97","136,64","134,55","138,86M","0,69%"
"16/07/2012","135,43","135,44","135,83","134,90","97,53M","-0,24%"
"13/07/2012","135,75","133,86","135,89","133,84","129,64M","1,68%"
"12/07/2012","133,51","133,38","134,23","132,60","143,58M","-0,48%"
"11/07/2012","134,16","134,21","134,60","133,38","141,73M","0,01%"
"10/07/2012","134,14","136,01","136,23","133,68","167,88M","-0,87%"
"09/07/2012","135,32","135,38","135,57","134,70","103,78M","-0,13%"
"06/07/2012","135,49","135,47","135,77","134,85","151,19M","-0,95%"
"05/07/2012","136,79","136,90","137,80","136,29","126,18M","-0,45%"
"03/07/2012","137,41","136,48","137,51","136,34","80,45M","0,66%"
"02/07/2012","136,51","136,48","136,65","135,52","129,52M","0,30%"
"29/06/2012","136,10","135,20","136,27","134,85","212,25M","2,49%"
"28/06/2012","132,79","132,29","132,99","131,28","169,24M","-0,29%"
"27/06/2012","133,17","132,42","133,43","131,97","108,09M","0,90%"
"26/06/2012","131,98","131,70","132,38","130,93","141,63M","0,50%"
"25/06/2012","131,32","132,05","132,10","130,85","146,38M","-1,60%"
"22/06/2012","133,46","133,13","133,71","132,62","130,03M","0,77%"
"21/06/2012","132,44","135,64","135,78","132,33","205,27M","-2,24%"
"20/06/2012","135,48","135,71","136,10","134,27","206,47M","-0,16%"
"19/06/2012","135,70","135,08","136,25","134,37","137,38M","0,97%"
"18/06/2012","134,40","133,58","134,73","133,28","131,37M","0,19%"
"15/06/2012","134,14","133,38","134,26","133,10","169,44M","0,50%"
"14/06/2012","133,47","132,34","134,00","131,98","230,62M","1,06%"
"13/06/2012","132,07","132,53","133,36","131,62","172,22M","-0,64%"
"12/06/2012","132,92","131,79","133,01","131,16","181,93M","1,15%"
"11/06/2012","131,41","134,17","134,25","131,28","169,76M","-1,27%"
"08/06/2012","133,10","131,71","133,12","131,29","143,92M","0,80%"
"07/06/2012","132,05","133,47","133,53","131,78","184,77M","0,06%"
"06/06/2012","131,97","129,97","132,03","129,93","184,20M","2,25%"
"05/06/2012","129,07","127,85","129,26","127,78","164,15M","0,76%"
"04/06/2012","128,10","128,39","128,74","127,14","202,55M","-0,05%"
"01/06/2012","128,16","129,41","131,50","128,16","253,24M","-2,52%"
"31/05/2012","131,47","131,71","132,45","130,34","196,19M","-0,22%"
"30/05/2012","131,76","132,56","133,69","131,49","162,37M","-1,45%"
"29/05/2012","133,70","133,16","133,93","131,17","152,88M","1,21%"
"25/05/2012","132,10","132,48","132,85","131,78","135,47M","-0,32%"
"24/05/2012","132,53","132,63","132,84","131,42","167,36M","0,20%"
"23/05/2012","132,27","131,25","132,46","129,99","204,96M","0,05%"
"22/05/2012","132,20","132,31","133,23","131,34","197,53M","0,17%"
"21/05/2012","131,97","130,16","132,02","129,95","177,86M","1,72%"
"18/05/2012","129,74","131,37","131,60","129,55","319,63M","-0,86%"
"17/05/2012","130,86","132,86","133,02","130,79","247,99M","-1,48%"
"16/05/2012","132,83","133,94","134,55","132,80","207,27M","-0,38%"
"15/05/2012","133,34","134,02","134,81","133,13","207,63M","-0,57%"
"14/05/2012","134,11","134,31","135,61","133,91","163,91M","-1,11%"
"11/05/2012","135,61","135,17","136,87","135,11","153,03M","-0,30%"
"10/05/2012","136,02","136,68","136,85","135,71","150,60M","0,21%"
"09/05/2012","135,74","135,10","136,61","134,49","220,78M","-0,59%"
"08/05/2012","136,55","136,28","136,77","134,92","213,38M","-0,40%"
"07/05/2012","137,10","136,51","137,56","136,46","127,77M","0,07%"
"04/05/2012","137,00","138,51","139,30","136,92","193,93M","-1,62%"
"03/05/2012","139,25","140,34","140,45","138,99","143,76M","-0,76%"
"02/05/2012","140,32","139,92","140,46","139,46","121,08M","-0,30%"
"01/05/2012","140,74","139,79","141,66","139,63","138,84M","0,62%"
"30/04/2012","139,87","140,11","140,21","139,49","115,09M","-0,37%"
"27/04/2012","140,39","140,58","140,79","139,80","124,64M","0,16%"
"26/04/2012","140,16","138,89","140,32","138,81","136,29M","0,70%"
"25/04/2012","139,19","138,65","139,25","138,53","150,25M","1,37%"
"24/04/2012","137,31","136,91","137,66","136,80","137,48M","0,38%"
"23/04/2012","136,79","136,54","136,91","135,94","171,84M","-0,84%"
"20/04/2012","137,95","138,33","138,83","137,87","143,20M","0,17%"
"19/04/2012","137,72","138,63","139,15","137,07","198,67M","-0,64%"
"18/04/2012","138,61","138,46","139,08","138,38","123,88M","-0,34%"
"17/04/2012","139,08","137,84","139,36","137,70","147,88M","1,48%"
"16/04/2012","137,05","137,84","138,04","136,58","147,83M","-0,07%"
"13/04/2012","137,14","138,47","138,82","137,01","169,25M","-1,19%"
"12/04/2012","138,79","137,13","138,90","137,03","154,32M","1,31%"
"11/04/2012","137,00","137,29","137,54","136,75","154,13M","0,81%"
"10/04/2012","135,90","137,95","138,34","135,76","235,36M","-1,68%"
"09/04/2012","138,22","138,03","139,84","137,84","127,56M","-1,12%"
"05/04/2012","139,79","139,38","140,20","139,26","137,44M","-0,05%"
"04/04/2012","139,86","140,22","140,34","139,34","146,90M","-0,99%"
"03/04/2012","141,26","141,64","141,88","140,43","155,81M","-0,41%"
"02/04/2012","141,84","140,64","142,21","140,36","151,74M","0,73%"
"30/03/2012","140,81","140,92","141,05","140,05","135,49M","0,41%"
"29/03/2012","140,23","139,64","140,49","139,09","164,96M","-0,17%"
"28/03/2012","140,47","141,10","141,32","139,64","148,56M","-0,50%"
"27/03/2012","141,17","141,74","141,83","141,08","119,87M","-0,31%"
"26/03/2012","141,61","140,65","141,61","140,60","120,16M","1,40%"
"23/03/2012","139,65","139,32","139,81","138,55","120,52M","0,32%"
"22/03/2012","139,20","139,18","139,55","138,74","135,22M","-0,72%"
"21/03/2012","140,21","140,52","140,65","139,92","122,39M","-0,16%"
"20/03/2012","140,44","140,05","140,61","139,64","121,73M","-0,29%"
"19/03/2012","140,85","140,21","141,28","140,11","125,29M","0,39%"
"16/03/2012","140,30","140,36","140,48","140,00","152,89M","-0,30%"
"15/03/2012","140,72","140,12","140,78","139,76","165,12M","0,58%"
"14/03/2012","139,91","140,10","140,44","139,48","145,16M","-0,11%"
"13/03/2012","140,06","138,32","140,13","138,09","184,09M","1,80%"
"12/03/2012","137,58","137,55","137,76","137,09","104,00M","0,01%"
"09/03/2012","137,57","137,30","137,93","137,13","122,84M","0,39%"
"08/03/2012","137,04","136,52","137,32","136,24","116,97M","0,99%"
"07/03/2012","135,69","135,06","135,91","134,93","143,69M","0,70%"
"06/03/2012","134,75","135,35","135,43","134,36","202,13M","-1,46%"
"05/03/2012","136,75","137,10","137,20","136,28","140,76M","-0,41%"
"02/03/2012","137,31","137,64","137,82","137,00","120,64M","-0,30%"
"01/03/2012","137,73","137,31","137,99","136,93","145,03M","0,52%"
"29/02/2012","137,02","137,76","138,19","136,54","185,93M","-0,39%"
"28/02/2012","137,56","137,20","137,72","136,93","129,36M","0,29%"
"27/02/2012","137,16","136,02","137,53","135,80","145,73M","0,17%"
"24/02/2012","136,93","136,93","137,20","136,63","105,54M","0,22%"
"23/02/2012","136,63","135,96","136,73","135,50","137,70M","0,44%"
"22/02/2012","136,03","136,26","136,55","135,79","124,46M","-0,32%"
"21/02/2012","136,47","136,73","137,05","136,05","134,04M","0,04%"
"17/02/2012","136,41","136,52","136,63","135,96","129,87M","0,26%"
"16/02/2012","136,05","134,57","136,17","134,33","186,57M","1,11%"
"15/02/2012","134,56","135,63","135,83","134,29","195,20M","-0,47%"
"14/02/2012","135,19","135,00","135,27","134,25","166,00M","-0,13%"
"13/02/2012","135,36","135,32","135,52","134,74","115,84M","0,74%"
"10/02/2012","134,36","134,16","134,47","133,84","167,91M","-0,74%"
"09/02/2012","135,36","135,41","135,59","134,56","148,60M","0,13%"
"08/02/2012","135,19","134,86","135,22","134,31","139,36M","0,30%"
"07/02/2012","134,79","134,17","135,02","133,64","135,53M","0,25%"
"06/02/2012","134,45","133,98","134,51","133,83","107,69M","-0,07%"
"03/02/2012","134,54","134,00","134,62","133,77","160,60M","1,40%"
"02/02/2012","132,68","132,73","133,02","132,21","113,09M","0,16%"
"01/02/2012","132,47","132,29","133,14","132,13","166,23M","0,88%"
"31/01/2012","131,32","132,02","132,18","130,68","157,21M","-0,04%"
"30/01/2012","131,37","130,51","131,44","130,06","147,31M","-0,34%"
"27/01/2012","131,82","131,24","132,05","131,15","135,26M","-0,05%"
"26/01/2012","131,88","133,15","133,40","131,36","184,88M","-0,51%"
"25/01/2012","132,56","131,26","132,87","130,75","198,61M","0,84%"
"24/01/2012","131,46","130,80","131,50","130,60","103,08M","-0,11%"
"23/01/2012","131,61","131,51","132,25","130,98","129,30M","-0,26%"
"20/01/2012","131,95","131,24","131,95","130,92","138,23M","0,37%"
"19/01/2012","131,46","131,22","131,57","130,80","126,33M","0,53%"
"18/01/2012","130,77","129,31","130,84","129,08","163,40M","1,11%"
"17/01/2012","129,34","130,08","130,32","128,90","132,21M","0,39%"
"13/01/2012","128,84","128,64","129,05","127,72","179,84M","-0,52%"
"12/01/2012","129,51","129,57","129,70","128,54","118,98M","0,24%"
"11/01/2012","129,20","128,73","129,37","128,52","111,54M","0,05%"
"10/01/2012","129,13","129,39","129,65","128,95","115,28M","0,87%"
"09/01/2012","128,02","128,00","128,18","127,41","99,53M","0,24%"
"06/01/2012","127,71","128,20","128,22","127,29","148,05M","-0,26%"
"05/01/2012","128,04","127,01","128,23","126,43","173,89M","0,27%"
"04/01/2012","127,70","127,20","127,81","126,71","127,19M","0,16%"
"03/01/2012","127,50","127,76","128,38","127,43","193,70M","1,59%"